"TABLE_NAME","COLUMN_NAME","CHARACTER_SET_NAME","COLLATION_NAME"
Attendance,riderId,utf8mb4,utf8mb4_general_ci
Attendance,status,utf8mb4,utf8mb4_general_ci
AttendanceUploadLog,error,latin1,latin1_swedish_ci
AttendanceUploadLog,createdBy,latin1,latin1_swedish_ci
BankDetails,riderId,utf8mb4,utf8mb4_general_ci
BankDetails,bankName,utf8mb4,utf8mb4_general_ci
BankDetails,accountNumber,utf8mb4,utf8mb4_general_ci
BankDetails,IBAN,utf8mb4,utf8mb4_general_ci
BankDetails,createdBy,utf8mb4,utf8mb4_general_ci
BankDetails,updatedBy,utf8mb4,utf8mb4_general_ci
Batch,batchNo,latin1,latin1_swedish_ci
BatchVehicleCategory,description,latin1,latin1_swedish_ci
CarEmi,riderId,latin1,latin1_swedish_ci
CarEmi,vehicleId,latin1,latin1_swedish_ci
CarEmi,remarks,latin1,latin1_swedish_ci
CarEmi,createdBy,latin1,latin1_swedish_ci
CarEmi,updatedBy,latin1,latin1_swedish_ci
Client,clientId,utf8mb4,utf8mb4_general_ci
Client,clientCode,utf8mb4,utf8mb4_general_ci
Client,clientName,utf8mb4,utf8mb4_general_ci
Client,clientEmail,utf8mb4,utf8mb4_general_ci
Client,clientContactPhone,utf8mb4,utf8mb4_general_ci
Client,createdBy,utf8mb4,utf8mb4_general_ci
Client,updatedBy,utf8mb4,utf8mb4_general_ci
ClientRiderConfig,riderId,utf8mb4,utf8mb4_general_ci
ClientRiderConfig,createdBy,utf8mb4,utf8mb4_general_ci
ClientRiderConfig,updatedBy,utf8mb4,utf8mb4_general_ci
ClientUserId,riderId,utf8mb4,utf8mb4_general_ci
ClientUserId,createdBy,utf8mb4,utf8mb4_general_ci
ClientUserId,updatedBy,utf8mb4,utf8mb4_general_ci
ClientUserId,clientId,utf8mb4,utf8mb4_general_ci
ClientUserId,tempRiderId,utf8mb4,utf8mb4_general_ci
Company,companyId,utf8mb4,utf8mb4_general_ci
Company,idx,utf8mb4,utf8mb4_general_ci
Company,code,utf8mb4,utf8mb4_general_ci
Company,name,utf8mb4,utf8mb4_general_ci
Company,description,utf8mb4,utf8mb4_general_ci
Company,ownerFirstName,utf8mb4,utf8mb4_general_ci
Company,ownerLastName,utf8mb4,utf8mb4_general_ci
Company,createdBy,utf8mb4,utf8mb4_general_ci
Company,updatedBy,utf8mb4,utf8mb4_general_ci
Company,image,utf8mb4,utf8mb4_general_ci
CompanyDocument,companyId,utf8mb4,utf8mb4_general_ci
CompanyDocument,name,utf8mb4,utf8mb4_general_ci
CompanyDocument,path,utf8mb4,utf8mb4_general_ci
CompanyDocument,source,utf8mb4,utf8mb4_general_ci
CompanyDocument,createdBy,utf8mb4,utf8mb4_general_ci
CompanyDocument,updatedBy,utf8mb4,utf8mb4_general_ci
CompanyPayrollSummary,companyId,utf8mb4,utf8mb4_general_ci
CompanyPayrollSummary,createdBy,latin1,latin1_swedish_ci
CompanyPayrollSummary,status,latin1,latin1_swedish_ci
CompanyPayrollSummary,updatedBy,latin1,latin1_swedish_ci
CompanyPerformance,companyId,utf8mb4,utf8mb4_general_ci
CompanyPerformance,accountManager,utf8mb4,utf8mb4_general_ci
CompanyPerformance,createdBy,utf8mb4,utf8mb4_general_ci
CompanyPerformance,updatedBy,utf8mb4,utf8mb4_general_ci
Document,sourceId,utf8mb4,utf8mb4_general_ci
Document,name,utf8mb4,utf8mb4_general_ci
Document,path,utf8mb4,utf8mb4_general_ci
Document,source,utf8mb4,utf8mb4_general_ci
Document,createdBy,utf8mb4,utf8mb4_general_ci
Document,updatedBy,utf8mb4,utf8mb4_general_ci
DocumentType,code,latin1,latin1_swedish_ci
DocumentType,documentHeaderCode,latin1,latin1_swedish_ci
DocumentType,description,latin1,latin1_swedish_ci
DocumentTypeExpiry,sourceId,latin1,latin1_swedish_ci
DocumentTypeExpiry,source,latin1,latin1_swedish_ci
DocumentTypeExpiry,createdBy,latin1,latin1_swedish_ci
DocumentTypeExpiry,updatedBy,latin1,latin1_swedish_ci
Helpdesk,status,utf8mb4,utf8mb4_general_ci
Helpdesk,riderId,utf8mb4,utf8mb4_general_ci
Helpdesk,comments,utf8mb4,utf8mb4_bin
Helpdesk,createdBy,utf8mb4,utf8mb4_general_ci
Helpdesk,updatedBy,utf8mb4,utf8mb4_general_ci
HrWorkflow,riderId,utf8mb4,utf8mb4_general_ci
HrWorkflow,taskDetails,utf8mb4,utf8mb4_bin
HrWorkflow,remarks,utf8mb4,utf8mb4_general_ci
HrWorkflow,createdBy,utf8mb4,utf8mb4_general_ci
HrWorkflow,updatedBy,utf8mb4,utf8mb4_general_ci
IdSequences,entityType,latin1,latin1_swedish_ci
IdSequences,yearPrefix,latin1,latin1_swedish_ci
LeaveRequest,riderId,utf8mb4,utf8mb4_general_ci
LeaveRequest,leaveType,latin1,latin1_swedish_ci
LeaveRequest,otherReason,latin1,latin1_swedish_ci
LeaveRequest,status,latin1,latin1_swedish_ci
LeaveRequest,createdBy,latin1,latin1_swedish_ci
LeaveRequest,updatedBy,latin1,latin1_swedish_ci
LeaveRequest,rejectReason,latin1,latin1_swedish_ci
LeaveRequestComment,comment,latin1,latin1_swedish_ci
LeaveRequestComment,createdBy,latin1,latin1_swedish_ci
OrderList,riderId,utf8mb4,utf8mb4_general_ci
OrderList,createdBy,utf8mb4,utf8mb4_general_ci
OrderValue,clientId,utf8mb4,utf8mb4_general_ci
OrderValue,createdBy,utf8mb4,utf8mb4_general_ci
OrderValue,updatedBy,utf8mb4,utf8mb4_general_ci
PageModule,name,latin1,latin1_swedish_ci
PageModule,code,latin1,latin1_swedish_ci
Partner,companyId,utf8mb4,utf8mb4_general_ci
Partner,firstName,utf8mb4,utf8mb4_general_ci
Partner,lastName,utf8mb4,utf8mb4_general_ci
Partner,createdBy,utf8mb4,utf8mb4_general_ci
Partner,updatedBy,utf8mb4,utf8mb4_general_ci
PassportRequest,status,utf8mb4,utf8mb4_general_ci
PassportRequest,riderId,utf8mb4,utf8mb4_general_ci
PassportRequest,comments,utf8mb4,utf8mb4_bin
PassportRequest,createdBy,utf8mb4,utf8mb4_general_ci
PassportRequest,updatedBy,utf8mb4,utf8mb4_general_ci
Payroll,riderId,latin1,latin1_swedish_ci
Payroll,riderName,latin1,latin1_swedish_ci
Payroll,clientId,latin1,latin1_swedish_ci
Payroll,clientUserId,latin1,latin1_swedish_ci
Payroll,vehicleId,latin1,latin1_swedish_ci
Payroll,vehicleNumber,latin1,latin1_swedish_ci
Payroll,companyId,latin1,latin1_swedish_ci
Payroll,companyCode,latin1,latin1_swedish_ci
