"TABLE_SCHEMA","TABLE_NAME","ORDINAL_POSITION","COLUMN_NAME","DATA_TYPE","COLUMN_TYPE","IS_NULLABLE","COLUMN_DEFAULT","COLUMN_KEY","EXTRA","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","COLUMN_COMMENT"
CAG_Admin_PROD,Attendance,1,attendanceId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,Attendance,2,riderId,varchar,varchar(20),YES,NULL,MUL,"",20,,,""
CAG_Admin_PROD,Attendance,3,clientUserId,int,int(11),NO,,"","",,10,0,""
CAG_Admin_PROD,Attendance,4,attendanceDate,date,date,NO,,MUL,"",,,,""
CAG_Admin_PROD,Attendance,5,status,enum,"enum('WORKED','NO_SHIFT','NO_SHOW','LATE_LOGIN','SUSPENDED','EMPTY')",YES,NULL,MUL,"",10,,,""
CAG_Admin_PROD,AttendanceUploadLog,1,attendanceUploadLogId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,AttendanceUploadLog,2,isProcessed,tinyint,tinyint(1),NO,"0","","",,3,0,""
CAG_Admin_PROD,AttendanceUploadLog,3,attendanceStartDate,date,date,NO,,"","",,,,""
CAG_Admin_PROD,AttendanceUploadLog,4,attendanceEndDate,date,date,NO,,"","",,,,""
CAG_Admin_PROD,AttendanceUploadLog,5,error,text,text,YES,NULL,"","",65535,,,""
CAG_Admin_PROD,AttendanceUploadLog,6,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,AttendanceUploadLog,7,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,BankDetails,1,bankDetailsId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,BankDetails,2,riderId,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,BankDetails,3,bankName,varchar,varchar(200),NO,,"","",200,,,""
CAG_Admin_PROD,BankDetails,4,accountNumber,varchar,varchar(100),YES,NULL,"","",100,,,""
CAG_Admin_PROD,BankDetails,5,IBAN,varchar,varchar(150),YES,NULL,"","",150,,,""
CAG_Admin_PROD,BankDetails,6,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,BankDetails,7,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,BankDetails,8,updatedAt,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,BankDetails,9,updatedBy,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,Batch,1,batchId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,Batch,2,batchNo,varchar,varchar(55),NO,,UNI,"",55,,,""
CAG_Admin_PROD,Batch,3,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,Batch,4,updatedAt,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,Batch,5,createdBy,int,int(11),NO,,"","",,10,0,""
CAG_Admin_PROD,Batch,6,updatedBy,int,int(11),YES,NULL,"","",,10,0,""
CAG_Admin_PROD,BatchVehicleCategory,1,batchVehicleCategoryId,int,int(11),NO,,PRI,"",,10,0,""
CAG_Admin_PROD,BatchVehicleCategory,2,description,varchar,varchar(55),NO,,"","",55,,,""
CAG_Admin_PROD,CarEmi,1,carEmiId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,CarEmi,2,riderId,varchar,varchar(20),NO,,MUL,"",20,,,""
CAG_Admin_PROD,CarEmi,3,vehicleId,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,CarEmi,4,totalAmount,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,5,downPayment,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,6,principalAmount,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,7,interestRate,decimal,"decimal(5,2)",NO,,"","",,5,2,""
CAG_Admin_PROD,CarEmi,8,tenureMonths,int,int(11),NO,,"","",,10,0,""
CAG_Admin_PROD,CarEmi,9,monthlyEmi,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,10,totalInterest,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,11,totalPayable,decimal,"decimal(12,2)",NO,,"","",,12,2,""
CAG_Admin_PROD,CarEmi,12,totalPaid,decimal,"decimal(12,2)",NO,"0.00","","",,12,2,""
CAG_Admin_PROD,CarEmi,13,contractStartDate,date,date,NO,,"","",,,,""
CAG_Admin_PROD,CarEmi,14,isActive,tinyint,tinyint(1),NO,"1","","",,3,0,""
CAG_Admin_PROD,CarEmi,15,remarks,text,text,YES,NULL,"","",65535,,,""
CAG_Admin_PROD,CarEmi,16,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,CarEmi,17,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,CarEmi,18,updatedAt,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,CarEmi,19,updatedBy,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,CarEmi,20,skipCount,int,int(11),YES,NULL,"","",,10,0,""
CAG_Admin_PROD,CarEmi,21,isEmiSkipped,tinyint,tinyint(4),YES,"0","","",,3,0,""
CAG_Admin_PROD,Client,1,clientId,varchar,varchar(20),NO,,PRI,"",20,,,""
CAG_Admin_PROD,Client,2,clientCode,varchar,varchar(100),NO,,UNI,"",100,,,""
CAG_Admin_PROD,Client,3,clientName,varchar,varchar(255),NO,,"","",255,,,""
CAG_Admin_PROD,Client,4,clientEmail,varchar,varchar(200),YES,NULL,"","",200,,,""
CAG_Admin_PROD,Client,5,clientContactPhone,varchar,varchar(50),YES,NULL,"","",50,,,""
CAG_Admin_PROD,Client,6,isActive,tinyint,tinyint(1),NO,"1","","",,3,0,""
CAG_Admin_PROD,Client,7,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,Client,8,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,Client,9,updatedAt,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,Client,10,updatedBy,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,ClientRiderConfig,1,clientRiderConfigId,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,ClientRiderConfig,2,clientUserId,int,int(11),NO,,"","",,10,0,""
CAG_Admin_PROD,ClientRiderConfig,3,riderId,varchar,varchar(20),YES,NULL,MUL,"",20,,,""
CAG_Admin_PROD,ClientRiderConfig,4,startDate,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,ClientRiderConfig,5,endDate,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,ClientRiderConfig,6,isActive,tinyint,tinyint(1),NO,"1","","",,3,0,""
CAG_Admin_PROD,ClientRiderConfig,7,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,ClientRiderConfig,8,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,ClientRiderConfig,9,updatedAt,datetime,datetime,YES,NULL,"","",,,,""
CAG_Admin_PROD,ClientRiderConfig,10,updatedBy,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,ClientUserId,1,id,int,int(11),NO,,PRI,auto_increment,,10,0,""
CAG_Admin_PROD,ClientUserId,2,clientUserId,int,int(11),NO,,UNI,"",,10,0,""
CAG_Admin_PROD,ClientUserId,3,riderId,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,ClientUserId,4,createdAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,ClientUserId,5,updatedAt,datetime,datetime,NO,,"","",,,,""
CAG_Admin_PROD,ClientUserId,6,createdBy,varchar,varchar(20),NO,,MUL,"",20,,,""
CAG_Admin_PROD,ClientUserId,7,updatedBy,varchar,varchar(20),YES,NULL,MUL,"",20,,,""
CAG_Admin_PROD,ClientUserId,8,isActive,tinyint,tinyint(1),NO,"1","","",,3,0,""
CAG_Admin_PROD,ClientUserId,9,clientId,varchar,varchar(20),YES,NULL,MUL,"",20,,,""
CAG_Admin_PROD,ClientUserId,10,isAssigned,tinyint,tinyint(1),NO,"0","","",,3,0,""
CAG_Admin_PROD,ClientUserId,11,tempRiderId,varchar,varchar(20),YES,NULL,MUL,"",20,,,""
CAG_Admin_PROD,ClientUserId,12,contractExpiry,date,date,NO,,"","",,,,""
CAG_Admin_PROD,Company,1,companyId,varchar,varchar(20),NO,,PRI,"",20,,,""
CAG_Admin_PROD,Company,2,idx,varchar,varchar(20),YES,NULL,UNI,"",20,,,""
CAG_Admin_PROD,Company,3,code,varchar,varchar(120),YES,NULL,UNI,"",120,,,""
CAG_Admin_PROD,Company,4,name,varchar,varchar(255),NO,,"","",255,,,""
CAG_Admin_PROD,Company,5,description,varchar,varchar(255),YES,NULL,"","",255,,,""
CAG_Admin_PROD,Company,6,ownerFirstName,varchar,varchar(100),YES,NULL,"","",100,,,""
CAG_Admin_PROD,Company,7,ownerLastName,varchar,varchar(100),YES,NULL,"","",100,,,""
CAG_Admin_PROD,Company,8,ownerPercentage,int,int(11),NO,,"","",,10,0,""
CAG_Admin_PROD,Company,9,isActive,tinyint,tinyint(1),YES,NULL,"","",,3,0,""
CAG_Admin_PROD,Company,10,createdBy,varchar,varchar(20),NO,,"","",20,,,""
CAG_Admin_PROD,Company,11,updatedBy,varchar,varchar(20),YES,NULL,"","",20,,,""
CAG_Admin_PROD,Company,12,createdAt,datetime,datetime,NO,,"","",,,,""
