"fk_name","child_table","child_column","parent_table","parent_column","UPDATE_RULE","DELETE_RULE"
fk_attendance_rider,Attendance,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_clientriderconfig_rider,ClientRiderConfig,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_clientuserid_client,ClientUserId,clientId,Client,clientId,RESTRICT,RESTRICT
fk_clientuserid_temprider,ClientUserId,tempRiderId,Rider,riderId,CASCADE,SET NULL
fk_companydocument_company,CompanyDocument,companyId,Company,companyId,RESTRICT,RESTRICT
fk_cps_company,CompanyPayrollSummary,companyId,Company,companyId,RESTRICT,RESTRICT
fk_companyPerformance_company,CompanyPerformance,companyId,Company,companyId,CASCADE,RESTRICT
fk_helpdesk_type,Helpdesk,type,TicketType,typeId,CASCADE,RESTRICT
fk_hrworkflow_rider,HrWorkflow,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_hr_task,HrWorkflow,taskId,Task,taskId,CASCADE,RESTRICT
fk_hr_taskStatus,HrWorkflow,taskStatusId,TaskStatus,taskStatusId,RESTRICT,RESTRICT
fk_leave_rider,LeaveRequest,riderId,Rider,riderId,RESTRICT,RESTRICT
FK_LeaveRequestComment_LeaveRequest,LeaveRequestComment,leaveRequestId,LeaveRequest,leaveRequestId,RESTRICT,RESTRICT
fk_rider_orderList,OrderList,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_ordervalue_client,OrderValue,clientId,Client,clientId,RESTRICT,RESTRICT
OrderValue_ibfk_2,OrderValue,batchId,Batch,batchId,RESTRICT,CASCADE
fk_partner_company,Partner,companyId,Company,companyId,RESTRICT,RESTRICT
fk_passport_request_type,PassportRequest,type,TicketType,typeId,CASCADE,RESTRICT
PayrollEarnings_ibfk_1,PayrollEarnings,payrollId,Payroll,payrollId,RESTRICT,CASCADE
PayrollExpenses_ibfk_1,PayrollExpenses,payrollId,Payroll,payrollId,RESTRICT,CASCADE
PayrollVehicleEMI_ibfk_1,PayrollVehicleEMI,payrollId,Payroll,payrollId,RESTRICT,CASCADE
fk_rider_company,Rider,companyId,Company,companyId,RESTRICT,RESTRICT
fk_rider_status,Rider,statusId,RiderStatus,statusId,RESTRICT,RESTRICT
RiderOrder_ibfk_1,RiderOrder,riderId,Rider,riderId,RESTRICT,RESTRICT
RiderOrder_ibfk_2,RiderOrder,batchVehicleCategoryId,BatchVehicleCategory,batchVehicleCategoryId,RESTRICT,RESTRICT
fk_riderPerformance_rider,RiderPerformance,riderId,Rider,riderId,CASCADE,RESTRICT
fk_riderprop_property,RiderProperty,propertyId,Property,propertyId,CASCADE,CASCADE
fk_riderprop_rider,RiderProperty,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_ridervconfig_rider,RiderVehicleConfig,riderId,Rider,riderId,RESTRICT,RESTRICT
fk_ridervconfig_vehicle,RiderVehicleConfig,vehicleId,Vehicle,vehicleId,RESTRICT,RESTRICT
fk_salescashdetails_client,SalesCashDetails,clientId,Client,clientId,CASCADE,RESTRICT
fk_salescashdetails_company,SalesCashDetails,companyId,Company,companyId,CASCADE,RESTRICT
fk_salescashdetails_rider,SalesCashDetails,riderId,Rider,riderId,CASCADE,RESTRICT
fk_salescashentry_client,SalesCashEntry,clientId,Client,clientId,CASCADE,RESTRICT
fk_salescashentry_company,SalesCashEntry,companyId,Company,companyId,CASCADE,RESTRICT
fk_salescashentry_rider,SalesCashEntry,riderId,Rider,riderId,CASCADE,RESTRICT
fk_simcards_rider,SimCard,assignedTo,Rider,riderId,CASCADE,SET NULL
fk_user_rider,User,riderId,Rider,riderId,RESTRICT,CASCADE
User_ibfk_1,User,roleId,Role,roleId,RESTRICT,RESTRICT
UserCompany_ibfk_1,UserCompany,userId,User,userId,RESTRICT,CASCADE
UserCompany_ibfk_2,UserCompany,companyId,Company,companyId,RESTRICT,CASCADE
fk_vehicle_company,Vehicle,companyId,Company,companyId,RESTRICT,RESTRICT
fk_vehicleimage_vehicle,VehicleImage,vehicleId,Vehicle,vehicleId,RESTRICT,RESTRICT
