"TABLE_NAME","INDEX_NAME","index_type","method","columns","CARDINALITY","NULLABLE"
Attendance,idx_date,INDEX,BTREE,attendanceDate,0,""
Attendance,idx_rider_date,INDEX,BTREE,attendanceDate,0,""
Attendance,idx_rider_date,INDEX,BTREE,riderId,0,YES
Attendance,idx_status_date,INDEX,BTREE,attendanceDate,0,""
Attendance,idx_status_date,INDEX,BTREE,status,0,YES
Attendance,PRIMARY,UNIQUE,BTREE,attendanceId,0,""
Attendance,uq_attendance_rider_date,UNIQUE,BTREE,attendanceDate,0,""
Attendance,uq_attendance_rider_date,UNIQUE,BTREE,riderId,0,YES
AttendanceUploadLog,PRIMARY,UNIQUE,BTREE,attendanceUploadLogId,3,""
BankDetails,PRIMARY,UNIQUE,BTREE,bankDetailsId,327,""
Batch,batchNo,UNIQUE,BTREE,batchNo,6,""
Batch,PRIMARY,UNIQUE,BTREE,batchId,6,""
BatchVehicleCategory,PRIMARY,UNIQUE,BTREE,batchVehicleCategoryId,5,""
CarEmi,PRIMARY,UNIQUE,BTREE,carEmiId,0,""
CarEmi,uq_rider_vehicle,UNIQUE,BTREE,"riderId,vehicleId",0,""
Client,clientCode,UNIQUE,BTREE,clientCode,3,""
Client,PRIMARY,UNIQUE,BTREE,clientId,3,""
ClientRiderConfig,PRIMARY,UNIQUE,BTREE,clientRiderConfigId,1613,""
ClientRiderConfig,riderId,INDEX,BTREE,riderId,1613,YES
ClientUserId,createdBy,INDEX,BTREE,createdBy,16,""
ClientUserId,fk_clientuserid_client,INDEX,BTREE,clientId,4,YES
ClientUserId,fk_clientuserid_temprider,INDEX,BTREE,tempRiderId,269,YES
ClientUserId,PRIMARY,UNIQUE,BTREE,id,1079,""
ClientUserId,unique_clientUserId,UNIQUE,BTREE,clientUserId,1079,""
ClientUserId,updatedBy,INDEX,BTREE,updatedBy,22,YES
Company,PRIMARY,UNIQUE,BTREE,companyId,20,""
Company,uq_company_code,UNIQUE,BTREE,code,20,YES
Company,uq_company_idx,UNIQUE,BTREE,idx,20,YES
CompanyDocument,companyId,INDEX,BTREE,companyId,0,YES
CompanyDocument,PRIMARY,UNIQUE,BTREE,documentId,0,""
CompanyPayrollSummary,PRIMARY,UNIQUE,BTREE,companyPayrollSummaryId,0,""
CompanyPayrollSummary,uq_company_month,UNIQUE,BTREE,"companyId,payMonth",0,""
CompanyPerformance,PRIMARY,UNIQUE,BTREE,companyPerformanceId,0,""
CompanyPerformance,uq_company_month,UNIQUE,BTREE,"companyId,performanceMonth",0,""
Document,companyId,INDEX,BTREE,sourceId,3652,""
