"TABLE_NAME","ENGINE","TABLE_ROWS","data_size_mb","index_size_mb","TABLE_COLLATION","AUTO_INCREMENT","CREATE_TIME","UPDATE_TIME","TABLE_COMMENT"
Attendance,InnoDB,0,0.02,0.06,utf8mb4_general_ci,1,"2026-06-11 07:22:22",,""
AttendanceUploadLog,InnoDB,3,0.02,0.00,latin1_swedish_ci,4,"2026-06-11 07:22:22",,""
BankDetails,InnoDB,327,0.06,0.00,utf8mb4_general_ci,807,"2026-06-11 07:22:22","2026-09-03 03:21:50",""
Batch,InnoDB,6,0.02,0.02,latin1_swedish_ci,15,"2026-06-11 07:22:22",,""
BatchVehicleCategory,InnoDB,5,0.02,0.00,latin1_swedish_ci,,"2026-06-11 07:22:22",,""
CarEmi,InnoDB,0,0.02,0.02,latin1_swedish_ci,4,"2026-06-11 07:22:22",,""
Client,InnoDB,3,0.02,0.02,utf8mb4_general_ci,,"2026-06-11 07:22:22",,""
ClientRiderConfig,InnoDB,1613,0.16,0.08,utf8mb4_general_ci,1669,"2026-06-11 07:22:22","2026-09-03 00:38:46",""
ClientUserId,InnoDB,1079,0.11,0.17,utf8mb4_general_ci,4124,"2026-06-11 07:22:22","2026-09-03 00:38:47",""
Company,InnoDB,20,0.02,0.03,utf8mb4_general_ci,,"2026-06-11 07:22:22",,""
CompanyDocument,InnoDB,0,0.02,0.02,utf8mb4_general_ci,1,"2026-06-11 07:22:22",,""
CompanyPayrollSummary,InnoDB,0,0.02,0.02,latin1_swedish_ci,3,"2026-06-11 07:22:22",,""
CompanyPerformance,InnoDB,0,0.02,0.02,utf8mb4_general_ci,1,"2026-06-11 07:22:22",,""
Document,InnoDB,3652,1.52,0.11,utf8mb4_general_ci,6497,"2026-06-11 07:22:22","2026-09-03 04:06:00",""
DocumentType,InnoDB,26,0.02,0.00,latin1_swedish_ci,,"2026-06-11 07:22:22",,""
DocumentTypeExpiry,InnoDB,1976,0.17,0.00,latin1_swedish_ci,6247,"2026-06-11 07:22:22","2026-09-03 04:06:01",""
Helpdesk,InnoDB,0,0.02,0.02,utf8mb4_general_ci,1,"2026-06-11 07:22:22",,""
HrWorkflow,InnoDB,2379,0.47,0.22,utf8mb4_general_ci,2561,"2026-06-11 07:22:22","2026-09-03 01:39:49",""
IdSequences,InnoDB,5,0.02,0.02,latin1_swedish_ci,6,"2026-06-11 07:22:22",,""
LeaveRequest,InnoDB,145,0.02,0.02,latin1_swedish_ci,152,"2026-06-11 07:22:22","2026-09-03 01:27:35",""
LeaveRequestComment,InnoDB,0,0.02,0.02,latin1_swedish_ci,3,"2026-06-11 07:22:22",,""
OrderList,InnoDB,115573,6.52,6.52,utf8mb4_general_ci,608220,"2026-06-11 07:22:22",,""
OrderValue,InnoDB,34,0.02,0.03,utf8mb4_general_ci,51,"2026-06-11 07:22:22",,""
PageModule,InnoDB,17,0.02,0.00,latin1_swedish_ci,,"2026-06-11 07:22:22",,""
Partner,InnoDB,11,0.02,0.02,utf8mb4_general_ci,17,"2026-06-11 07:22:22",,""
PassportRequest,InnoDB,0,0.02,0.02,utf8mb4_general_ci,3,"2026-06-11 07:22:22",,""
Payroll,InnoDB,161,0.06,0.02,latin1_swedish_ci,171,"2026-06-11 07:22:22",,""
PayrollEarnings,InnoDB,121,0.02,0.02,latin1_swedish_ci,158,"2026-06-11 07:22:22",,""
PayrollErrorLog,InnoDB,4,0.02,0.00,latin1_swedish_ci,5,"2026-06-11 07:22:22",,""
PayrollExpenses,InnoDB,161,0.02,0.02,latin1_swedish_ci,162,"2026-06-11 07:22:22",,""
PayrollVehicleEMI,InnoDB,0,0.02,0.02,latin1_swedish_ci,1,"2026-06-11 07:22:22",,""
Permission,InnoDB,4,0.02,0.00,latin1_swedish_ci,,"2026-06-11 07:22:22",,""
Property,InnoDB,8,0.02,0.03,utf8mb4_general_ci,18,"2026-06-11 07:22:22",,""
Rider,InnoDB,1778,1.47,0.20,utf8mb4_general_ci,,"2026-06-11 07:22:22","2026-09-03 03:22:05",""
RiderOrder,InnoDB,314,0.06,0.06,utf8mb4_general_ci,807,"2026-06-11 07:22:22",,""
RiderOrderUploadLog,InnoDB,9,0.02,0.00,latin1_swedish_ci,20,"2026-06-11 07:22:22",,""
RiderPerformance,InnoDB,773,0.14,0.06,utf8mb4_general_ci,837,"2026-06-11 07:22:22",,""
RiderProperty,InnoDB,562,0.08,0.03,utf8mb4_general_ci,626,"2026-06-11 07:22:22",,""
RiderStatus,InnoDB,14,0.02,0.00,utf8mb4_general_ci,15,"2026-06-11 07:22:22",,""
RiderVehicleConfig,InnoDB,684,0.06,0.03,utf8mb4_general_ci,882,"2026-06-11 07:22:22","2026-09-02 05:25:16",""
Role,InnoDB,7,0.02,0.00,utf8mb4_general_ci,,"2026-06-11 07:22:22",,""
RolePermission,InnoDB,91,0.02,0.00,latin1_swedish_ci,,"2026-06-11 07:22:22",,""
SalesCashDetails,InnoDB,209,0.06,0.05,utf8mb4_general_ci,222,"2026-06-11 07:22:22",,""
SalesCashEntry,InnoDB,1390,0.14,0.19,utf8mb4_general_ci,1468,"2026-06-11 07:22:22",,""
SimCard,InnoDB,0,0.02,0.03,utf8mb4_general_ci,7,"2026-06-11 07:22:22",,""
Task,InnoDB,14,0.02,0.00,utf8mb4_general_ci,,"2026-06-11 07:22:22",,""
TaskStatus,InnoDB,5,0.02,0.00,utf8mb4_general_ci,,"2026-06-11 07:22:22",,""
TicketType,InnoDB,9,0.02,0.00,utf8mb4_general_ci,10,"2026-06-11 07:22:22",,""
