"TABLE_NAME","CONSTRAINT_NAME","unique_columns"
Attendance,uq_attendance_rider_date,"riderId,attendanceDate"
Batch,batchNo,batchNo
CarEmi,uq_rider_vehicle,"riderId,vehicleId"
Client,clientCode,clientCode
ClientUserId,unique_clientUserId,clientUserId
Company,uq_company_code,code
Company,uq_company_idx,idx
CompanyPayrollSummary,uq_company_month,"companyId,payMonth"
CompanyPerformance,uq_company_month,"companyId,performanceMonth"
IdSequences,uq_entity_year,"entityType,yearPrefix"
OrderList,uq_rider_date,"riderId,orderDate"
Payroll,uq_payroll_month_rider,"payMonth,riderId"
Property,propertyCode,propertyCode
Property,propertyName,propertyName
RiderOrder,uq_rider_month_batch,"riderId,batchNo,orderMonth"
RiderPerformance,uq_riderPerformance,"clientId,riderId,performanceMonth"
RiderProperty,uq_riderprop_property_active,"riderId,propertyId"
SalesCashDetails,uq_entry_rider_date,"riderId,entryDate"
SalesCashEntry,uq_company_date,"clientUserId,entryDate"
SimCard,mobileNumber,mobileNumber
User,email,email
VehicleImage,unique_daftar_per_vehicle,"vehicleId,isDaftar"
